               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086379,              0.0191,                   0,              0.4801,             0.30579,             0.32586,             0.11107,            0.062367,            0.012261,                   0,            0.070112,           0.0033209,           0.0033209
                   1,            0.052997,            0.013125,                   0,             0.56003,             0.63446,              0.5648,             0.20444,            0.046017,           0.0093598,                   0,            0.037916,           0.0044584,           0.0044584
                   2,            0.044474,            0.010722,                   0,             0.81123,             0.69421,             0.74274,             0.31426,            0.040849,            0.007696,                   0,           0.0035197,           0.0033958,           0.0033958
