               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.050558,            0.014467,           0.0017466,              0.8368,             0.65601,             0.72235,             0.37323,            0.045366,            0.012418,           0.0022715,           0.0051914,           0.0051914,           0.0051914
                  36,             0.04876,            0.015508,           0.0017714,             0.89614,             0.66263,             0.74806,             0.35702,            0.045965,            0.012572,           0.0023839,             0.00505,             0.00505,             0.00505
                  37,            0.050891,            0.014609,           0.0020074,             0.87718,             0.64109,             0.74386,             0.33259,            0.047553,            0.012731,           0.0027096,           0.0049086,           0.0049086,           0.0049086
                  38,            0.045448,            0.013036,           0.0015336,             0.87604,             0.65294,             0.73564,             0.37122,              0.0439,            0.012589,           0.0027522,           0.0047671,           0.0047671,           0.0047671
                  39,            0.048288,            0.013475,           0.0013453,             0.85669,             0.65402,             0.73706,             0.37672,            0.042086,            0.012578,           0.0028391,           0.0046257,           0.0046257,           0.0046257
                  40,            0.047485,            0.014668,           0.0016033,             0.84709,             0.67377,             0.74985,             0.38982,            0.041083,            0.012507,            0.002776,           0.0044843,           0.0044843,           0.0044843
                  41,            0.044835,            0.012416,           0.0010946,             0.83875,             0.66602,             0.73836,             0.37857,            0.041619,            0.012568,           0.0026718,           0.0043429,           0.0043429,           0.0043429
                  42,            0.047684,            0.014571,           0.0017036,             0.80034,             0.67265,             0.75144,             0.37936,            0.042689,             0.01253,           0.0026404,           0.0042014,           0.0042014,           0.0042014
                  43,            0.045197,            0.013658,           0.0010987,             0.79157,             0.73856,             0.77114,             0.37902,            0.041409,            0.012431,           0.0026392,             0.00406,             0.00406,             0.00406
                  44,            0.044282,            0.014015,           0.0016724,             0.78425,             0.69948,             0.74475,             0.39679,            0.040798,            0.012402,           0.0026763,           0.0039186,           0.0039186,           0.0039186
                  45,            0.044972,            0.012202,           0.0011585,              0.8181,             0.69004,             0.73771,             0.37986,            0.042839,            0.012445,            0.002761,           0.0037771,           0.0037771,           0.0037771
                  46,             0.04417,            0.014425,           0.0013831,             0.84677,              0.6957,             0.75478,             0.39553,            0.042892,            0.012359,            0.002701,           0.0036357,           0.0036357,           0.0036357
                  47,            0.044218,            0.012578,           0.0012977,             0.84698,             0.68835,             0.74655,             0.40199,            0.042139,            0.012408,           0.0025682,           0.0034943,           0.0034943,           0.0034943
                  48,            0.044139,            0.013615,           0.0011029,              0.8848,             0.67579,             0.75343,             0.40345,              0.0401,            0.012164,           0.0025612,           0.0033529,           0.0033529,           0.0033529
                  49,            0.042636,            0.013177,           0.0013863,             0.90145,             0.66618,             0.76042,             0.40615,            0.039578,             0.01215,           0.0025786,           0.0032114,           0.0032114,           0.0032114
                  50,            0.044392,            0.013622,           0.0011623,             0.87908,             0.66789,             0.74207,             0.40712,            0.041184,             0.01213,           0.0026321,             0.00307,             0.00307,             0.00307
                  51,            0.041709,            0.013314,          0.00088448,             0.88084,             0.70841,             0.76645,             0.41862,            0.039637,             0.01215,           0.0025768,           0.0029286,           0.0029286,           0.0029286
                  52,            0.041411,            0.013444,           0.0012473,             0.84961,             0.70866,             0.76446,             0.41697,            0.038755,             0.01223,           0.0025121,           0.0027871,           0.0027871,           0.0027871
                  53,            0.040953,            0.013079,           0.0012997,             0.83997,             0.68314,              0.7493,             0.40274,            0.038744,            0.012191,           0.0025191,           0.0026457,           0.0026457,           0.0026457
                  54,            0.040969,            0.012492,           0.0013639,             0.85615,             0.69512,             0.76874,             0.42108,            0.038595,            0.012092,           0.0025492,           0.0025043,           0.0025043,           0.0025043
                  55,            0.039903,            0.013464,           0.0011647,             0.86088,             0.68702,             0.77262,             0.41404,            0.040675,            0.011941,           0.0026307,           0.0023629,           0.0023629,           0.0023629
                  56,            0.038925,            0.012888,           0.0011481,             0.86191,             0.68395,             0.75983,             0.40884,            0.039842,            0.012002,           0.0025151,           0.0022214,           0.0022214,           0.0022214
                  57,            0.038993,            0.012488,           0.0015987,              0.8915,             0.66887,             0.75176,             0.41716,            0.038112,            0.011849,           0.0026081,             0.00208,             0.00208,             0.00208
                  58,            0.039315,            0.012973,          0.00081154,             0.84761,             0.68702,             0.75305,             0.40475,            0.039223,            0.011966,           0.0024508,           0.0019386,           0.0019386,           0.0019386
                  59,            0.037828,            0.013067,           0.0010064,             0.84853,              0.6747,             0.75616,             0.42184,            0.038135,            0.011854,           0.0021896,           0.0017971,           0.0017971,           0.0017971
                  60,            0.039774,            0.012233,           0.0012795,             0.83317,             0.70018,             0.75923,             0.41824,             0.03875,            0.011951,           0.0020975,           0.0016557,           0.0016557,           0.0016557
                  61,            0.040204,            0.013068,            0.001206,             0.83274,             0.71479,             0.76324,             0.42706,            0.036604,            0.011906,           0.0019758,           0.0015143,           0.0015143,           0.0015143
                  62,            0.037489,            0.012656,           0.0011394,             0.84633,             0.71172,             0.76439,             0.43146,            0.036236,            0.011877,             0.00195,           0.0013729,           0.0013729,           0.0013729
                  63,            0.037692,            0.011529,          0.00092978,             0.82232,             0.72034,             0.77997,              0.4317,            0.035789,            0.011867,           0.0018726,           0.0012314,           0.0012314,           0.0012314
                  64,             0.03854,            0.012858,           0.0009476,             0.85361,             0.70482,             0.76582,             0.43655,            0.035621,            0.011841,           0.0018058,             0.00109,             0.00109,             0.00109
                  65,            0.036651,            0.011397,           0.0010098,             0.86527,             0.70372,             0.77725,             0.43733,             0.03573,            0.011841,           0.0018466,          0.00094857,          0.00094857,          0.00094857
                  66,            0.036639,            0.011907,          0.00093288,             0.84476,             0.70559,             0.76786,               0.433,            0.035758,            0.011802,           0.0018977,          0.00080714,          0.00080714,          0.00080714
                  67,            0.034542,            0.011725,           0.0011063,             0.83845,             0.71253,             0.77961,             0.43402,            0.036074,            0.011797,           0.0019192,          0.00066571,          0.00066571,          0.00066571
                  68,             0.03858,            0.012112,           0.0010551,             0.83719,             0.69788,             0.76216,             0.42754,            0.036506,            0.011814,           0.0020184,          0.00052429,          0.00052429,          0.00052429
                  69,            0.034611,            0.013134,           0.0010141,             0.84002,             0.69784,             0.76475,             0.42989,            0.036136,            0.011788,           0.0019979,          0.00038286,          0.00038286,          0.00038286
